Plot Title: 10169174,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
340,5/3/2019 15:00,15.091,1024,2.62,,,,,
341,5/3/2019 21:00,7.079,0,2.62,,,,,
342,5/4/2019 3:00,5.757,0,2.62,,,,,
343,5/4/2019 9:00,9.176,200,2.63,,,,,
344,5/4/2019 15:00,16.713,1408,2.63,,,,,
345,5/4/2019 21:00,9.077,0,2.63,,,,,
346,5/5/2019 3:00,7.179,0,2.62,,,,,
347,5/5/2019 9:00,9.768,168,2.62,,,,,
348,5/5/2019 15:00,17.284,1600,2.65,,,,,
349,5/5/2019 21:00,8.282,0,2.63,,,,,
350,5/6/2019 3:00,7.179,0,2.63,,,,,
351,5/6/2019 9:00,11.916,152,2.65,,,,,
352,5/6/2019 15:00,16.713,1536,2.63,,,,,
353,5/6/2019 21:00,10.651,0,2.63,,,,,
354,5/7/2019 3:00,8.581,0,2.63,,,,,
355,5/7/2019 9:00,10.357,160,2.63,,,,,
356,5/7/2019 15:00,16.903,576,2.65,,,,,
357,5/7/2019 21:00,9.077,0,2.65,,,,,
358,5/8/2019 3:00,7.682,0,2.63,,,,,
359,5/8/2019 9:00,10.651,192,2.63,,,,,
360,5/8/2019 15:00,16.046,64,2.67,,,,,
361,5/8/2019 21:00,10.944,0,2.65,,,,,
362,5/9/2019 3:00,9.768,0,2.63,,,,,
363,5/9/2019 9:00,12.98,176,2.65,,,,,
364,5/9/2019 15:00,19.187,3200,2.67,,,,,
365,5/9/2019 21:00,10.161,0,2.63,,,,,
366,5/10/2019 3:00,9.373,0,2.65,,,,,
367,5/10/2019 9:00,12.787,288,2.65,,,,,
368,5/10/2019 15:00,25.902,6144,2.68,,,,,
369,5/10/2019 21:00,13.654,0,2.67,,,,,
370,5/11/2019 3:00,12.304,0,2.65,,,,,
371,5/11/2019 9:00,14.038,248,2.67,,,,,
372,5/11/2019 15:00,26.683,6400,2.68,,,,,
373,5/11/2019 21:00,12.69,0,2.65,,,,,
374,5/12/2019 3:00,10.161,0,2.65,,,,,
375,5/12/2019 9:00,11.528,200,2.65,,,,,
376,5/12/2019 15:00,22.621,3328,2.68,,,,,
377,5/12/2019 21:00,10.063,0,2.63,,,,,
378,5/13/2019 3:00,8.082,0,2.65,,,,,
379,5/13/2019 9:00,10.846,256,2.65,,,,,
380,5/13/2019 15:00,16.141,136,2.67,,,,,
381,5/13/2019 21:00,9.669,0,2.63,,,,,
382,5/14/2019 3:00,8.779,0,2.65,,,,,
383,5/14/2019 9:00,5.757,61,2.63,,,,,
384,5/14/2019 15:00,7.179,160,2.63,,,,,
385,5/14/2019 21:00,5.86,0,2.63,,,,,
386,5/15/2019 3:00,5.962,0,2.63,,,,,
387,5/15/2019 9:00,7.782,98,2.65,,,,,
388,5/15/2019 15:00,9.866,136,2.63,,,,,
389,5/15/2019 21:00,8.182,0,2.65,,,,,
390,5/16/2019 3:00,7.682,0,2.63,,,,,
391,5/16/2019 9:00,7.682,168,2.63,,,,,
392,5/16/2019 15:00,7.079,136,2.63,,,,,
393,5/16/2019 21:00,4.831,0,2.62,,,,,
394,5/17/2019 3:00,3.998,0,2.63,,,,,
395,5/17/2019 9:00,4.519,48,2.63,,,,,
396,5/17/2019 15:00,5.45,62,2.62,,,,,
397,5/17/2019 21:00,4.519,0,2.63,,,,,
398,5/18/2019 3:00,3.788,0,2.63,,,,,
399,5/18/2019 9:00,6.978,240,2.63,,,,,
400,5/18/2019 15:00,7.682,32,2.63,,,,,
401,5/18/2019 21:00,5.655,0,2.62,,,,,
402,5/19/2019 3:00,3.261,0,2.62,,,,,
403,5/19/2019 9:00,5.347,101,2.62,,,,,
404,5/19/2019 15:00,5.347,40,2.62,,,,,
405,5/19/2019 21:00,4.934,0,2.62,,,,,
406,5/20/2019 3:00,4.207,0,2.63,,,,,
407,5/20/2019 9:00,5.141,136,2.62,,,,,
408,5/20/2019 15:00,9.571,448,2.65,,,,,
409,5/20/2019 21:00,4.623,0,2.63,,,,,
410,5/21/2019 3:00,3.049,0,2.62,,,,,
411,5/21/2019 9:00,5.141,256,2.62,,,,,
412,5/21/2019 15:00,5.86,128,2.62,,,,,
413,5/21/2019 21:00,4.934,0,2.62,,,,,
414,5/22/2019 3:00,5.037,0,2.62,,,,,
415,5/22/2019 9:00,6.573,128,2.63,,,,,
416,5/22/2019 15:00,8.481,29,2.63,,,,,
417,5/22/2019 21:00,7.079,0,2.63,,,,,
418,5/23/2019 3:00,6.268,0,2.62,,,,,
419,5/23/2019 9:00,8.779,192,2.65,,,,,
420,5/23/2019 15:00,15.378,400,2.65,,,,,
421,5/23/2019 21:00,9.571,0,2.65,,,,,
422,5/24/2019 3:00,8.182,0,2.63,,,,,
423,5/24/2019 9:00,6.877,128,2.63,,,,,
424,5/24/2019 15:00,7.079,68,2.63,,,,,
425,5/24/2019 21:00,3.998,0,2.63,,,,,
426,5/25/2019 3:00,2.624,0,2.62,,,,,
427,5/25/2019 9:00,3.578,136,2.62,,,,,
428,5/25/2019 15:00,4.311,45,2.63,,,,,
429,5/25/2019 21:00,1.439,0,2.6,,,,,
430,5/26/2019 3:00,3.261,0,2.62,,,,,
431,5/26/2019 9:00,6.268,128,2.62,,,,,
432,5/26/2019 15:00,9.965,100,2.63,,,,,
433,5/26/2019 21:00,7.782,0,2.63,,,,,
434,5/27/2019 3:00,7.682,0,2.63,,,,,
435,5/27/2019 9:00,8.182,200,2.63,,,,,
436,5/27/2019 15:00,8.779,36,2.65,,,,,
437,5/27/2019 21:00,7.882,0,2.63,,,,,
438,5/28/2019 3:00,7.481,0,2.63,,,,,
439,5/28/2019 9:00,8.879,160,2.65,,,,,
440,5/28/2019 15:00,11.041,136,2.63,,,,,
441,5/28/2019 21:00,8.082,0,2.63,,,,,
442,5/29/2019 3:00,7.682,0,2.63,,,,,
443,5/29/2019 9:00,9.176,192,2.65,,,,,
444,5/29/2019 15:00,17.284,288,2.67,,,,,
445,5/29/2019 21:00,9.571,0,2.65,,,,,
446,5/30/2019 3:00,8.581,0,2.63,,,,,
447,5/30/2019 9:00,10.357,152,2.63,,,,,
448,5/30/2019 15:00,12.883,12,2.65,,,,,
449,5/30/2019 21:00,10.651,0,2.63,,,,,
450,5/31/2019 3:00,9.965,0,2.63,,,,,
451,5/31/2019 9:00,11.819,168,2.65,,,,,
452,5/31/2019 15:00,17.379,288,2.67,,,,,
453,5/31/2019 21:00,13.461,0,2.67,,,,,
454,6/1/2019 3:00,11.916,0,2.65,,,,,
455,6/1/2019 9:00,13.461,160,2.67,,,,,
456,6/1/2019 15:00,21.855,384,2.68,,,,,
457,6/1/2019 21:00,13.076,0,2.65,,,,,
458,6/2/2019 3:00,11.528,0,2.65,,,,,
459,6/2/2019 9:00,13.461,144,2.67,,,,,
460,6/2/2019 15:00,22.717,480,2.68,,,,,
461,6/2/2019 21:00,12.304,0,2.65,,,,,
462,6/3/2019 3:00,9.866,0,2.63,,,,,
463,6/3/2019 9:00,11.236,144,2.65,,,,,
464,6/3/2019 15:00,22.142,800,2.68,,,,,
465,6/3/2019 21:00,10.455,0,2.63,,,,,
466,6/4/2019 3:00,8.581,0,2.65,,,,,
467,6/4/2019 9:00,10.553,144,2.63,,,,,
468,6/4/2019 15:00,23.292,672,2.68,,,,,
469,6/4/2019 21:00,11.431,0,2.65,,,,,
470,6/5/2019 3:00,9.866,0,2.63,,,,,
471,6/5/2019 9:00,11.916,136,2.65,,,,,
472,6/5/2019 15:00,13.654,16,2.67,,,,,
473,6/5/2019 21:00,8.978,0,2.65,,,,,
