Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
292,11/17/2020 14:16,3.893,161.5,2.75,,,,,
293,11/17/2020 20:16,1.548,0,2.74,,,,,
294,11/18/2020 2:16,1.764,0,2.74,,,,,
295,11/18/2020 8:16,0.232,32.3,2.74,,,,,
296,11/18/2020 14:16,0.232,129.2,2.74,,,,,
297,11/18/2020 20:16,-0.213,0,2.72,,,,,
298,11/19/2020 2:16,-0.213,0,2.72,,,,,
299,11/19/2020 8:16,-0.213,0,2.72,,,,,
300,11/19/2020 14:16,0.01,43.1,2.72,,,,,
301,11/19/2020 20:16,-0.102,0,2.72,,,,,
302,11/20/2020 2:16,-0.437,0,2.74,,,,,
303,11/20/2020 8:16,-0.437,21.5,2.74,,,,,
304,11/20/2020 14:16,0.01,236.8,2.72,,,,,
305,11/20/2020 20:16,0.121,0,2.72,,,,,
306,11/21/2020 2:16,-0.102,0,2.72,,,,,
307,11/21/2020 8:16,-0.213,21.5,2.72,,,,,
308,11/21/2020 14:16,0.121,258.3,2.72,,,,,
309,11/21/2020 20:16,0.121,0,2.72,,,,,
310,11/22/2020 2:16,0.01,0,2.72,,,,,
311,11/22/2020 8:16,0.121,86.1,2.72,,,,,
312,11/22/2020 14:16,0.232,366,2.72,,,,,
313,11/22/2020 20:16,-0.102,0,2.72,,,,,
314,11/23/2020 2:16,0.121,0,2.72,,,,,
315,11/23/2020 8:16,-0.437,0,2.74,,,,,
316,11/23/2020 14:16,0.01,139.9,2.72,,,,,
317,11/23/2020 20:16,0.121,0,2.72,,,,,
318,11/24/2020 2:16,0.01,0,2.72,,,,,
319,11/24/2020 8:16,0.01,118.4,2.72,,,,,
320,11/24/2020 14:16,1.764,3788.9,2.74,,,,,
321,11/24/2020 20:16,0.232,0,2.72,,,,,
322,11/25/2020 2:16,-0.325,0,2.72,,,,,
323,11/25/2020 8:16,-0.662,21.5,2.74,,,,,
324,11/25/2020 14:16,-0.325,32.3,2.72,,,,,
325,11/25/2020 20:16,-0.213,0,2.72,,,,,
326,11/26/2020 2:16,-0.213,0,2.72,,,,,
327,11/26/2020 8:16,-0.213,10.8,2.72,,,,,
328,11/26/2020 14:16,0.01,43.1,2.72,,,,,
329,11/26/2020 20:16,0.01,0,2.72,,,,,
330,11/27/2020 2:16,-0.102,0,2.72,,,,,
331,11/27/2020 8:16,0.121,21.5,2.72,,,,,
332,11/27/2020 14:16,0.232,333.7,2.72,,,,,
333,11/27/2020 20:16,0.453,0,2.74,,,,,
334,11/28/2020 2:16,0.784,0,2.74,,,,,
335,11/28/2020 8:16,0.674,226,2.74,,,,,
336,11/28/2020 14:16,1.003,1377.8,2.74,,,,,
337,11/28/2020 20:16,1.003,0,2.74,,,,,
338,11/29/2020 2:16,1.003,0,2.74,,,,,
339,11/29/2020 8:16,0.784,366,2.74,,,,,
340,11/29/2020 14:16,4.311,2411.1,2.77,,,,,
341,11/29/2020 20:16,2.837,0,2.75,,,,,
342,11/30/2020 2:16,2.303,0,2.75,,,,,
343,11/30/2020 8:16,-0.102,21.5,2.74,,,,,
344,11/30/2020 14:16,0.121,64.6,2.74,,,,,
345,11/30/2020 20:16,-0.102,0,2.74,,,,,
346,12/1/2020 2:16,-0.549,0,2.74,,,,,
347,12/1/2020 8:16,-0.887,64.6,2.74,,,,,
348,12/1/2020 14:16,0.121,624.3,2.74,,,,,
349,12/1/2020 20:16,-0.213,0,2.72,,,,,
350,12/2/2020 2:16,-0.213,0,2.74,,,,,
351,12/2/2020 8:16,-0.213,129.2,2.72,,,,,
352,12/2/2020 14:16,1.656,2927.8,2.74,,,,,
353,12/2/2020 20:16,1.548,0,2.74,,,,,
354,12/3/2020 2:16,1.33,0,2.74,,,,,
355,12/3/2020 8:16,2.41,409,2.75,,,,,
356,12/3/2020 14:16,3.155,925.7,2.75,,,,,
357,12/3/2020 20:16,2.943,0,2.75,,,,,
358,12/4/2020 2:16,2.303,0,2.75,,,,,
359,12/4/2020 8:16,2.837,322.9,2.75,,,,,
360,12/4/2020 14:16,6.573,2411.1,2.77,,,,,
361,12/4/2020 20:16,4.311,0,2.77,,,,,
362,12/5/2020 2:16,3.367,0,2.77,,,,,
363,12/5/2020 8:16,1.764,333.7,2.75,,,,,
364,12/5/2020 14:16,7.983,2497.2,2.79,,,,,
