"Plot Title: 10166273"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","Coupler Attached","Coupler Detached","Host Connected","Stopped","End Of File"
340,10/07/15 09:00:00 AM,14.804,11.0,2.87,,,,,
341,10/07/15 03:00:00 PM,18.521,12.0,2.89,,,,,
342,10/07/15 09:00:00 PM,10.161,0.0,2.85,,,,,
343,10/08/15 03:00:00 AM,8.879,0.0,2.87,,,,,
344,10/08/15 09:00:00 AM,14.421,16.0,2.87,,,,,
345,10/08/15 03:00:00 PM,18.140,15.0,2.89,,,,,
346,10/08/15 09:00:00 PM,8.879,0.0,2.87,,,,,
347,10/09/15 03:00:00 AM,7.582,0.0,2.87,,,,,
348,10/09/15 09:00:00 AM,14.325,10.0,2.87,,,,,
349,10/09/15 03:00:00 PM,19.092,11.0,2.89,,,,,
350,10/09/15 09:00:00 PM,9.275,0.0,2.87,,,,,
351,10/10/15 03:00:00 AM,11.236,0.0,2.85,,,,,
352,10/10/15 09:00:00 AM,10.748,2.0,2.85,,,,,
353,10/10/15 03:00:00 PM,12.690,2.0,2.87,,,,,
354,10/10/15 09:00:00 PM,8.978,0.0,2.87,,,,,
355,10/11/15 03:00:00 AM,8.481,0.0,2.87,,,,,
356,10/11/15 09:00:00 AM,7.179,2.0,2.85,,,,,
357,10/11/15 03:00:00 PM,12.207,4.0,2.87,,,,,
358,10/11/15 09:00:00 PM,5.860,0.0,2.85,,,,,
359,10/12/15 03:00:00 AM,4.519,0.0,2.85,,,,,
360,10/12/15 09:00:00 AM,7.179,1.0,2.85,,,,,
361,10/12/15 03:00:00 PM,12.013,3.0,2.85,,,,,
362,10/12/15 09:00:00 PM,6.268,0.0,2.85,,,,,
363,10/13/15 03:00:00 AM,4.934,0.0,2.83,,,,,
364,10/13/15 09:00:00 AM,7.381,1.0,2.85,,,,,
365,10/13/15 03:00:00 PM,13.173,3.0,2.87,,,,,
366,10/13/15 09:00:00 PM,6.978,0.0,2.85,,,,,
367,10/14/15 03:00:00 AM,5.655,0.0,2.85,,,,,
368,10/14/15 09:00:00 AM,8.581,3.0,2.87,,,,,
369,10/14/15 03:00:00 PM,14.038,4.0,2.87,,,,,
370,10/14/15 09:00:00 PM,8.382,0.0,2.87,,,,,
371,10/15/15 03:00:00 AM,7.682,0.0,2.87,,,,,
372,10/15/15 09:00:00 AM,10.651,2.0,2.85,,,,,
373,10/15/15 03:00:00 PM,15.378,1.0,2.87,,,,,
374,10/15/15 09:00:00 PM,9.768,0.0,2.85,,,,,
375,10/16/15 03:00:00 AM,8.581,0.0,2.87,,,,,
376,10/16/15 09:00:00 AM,14.230,6.0,2.87,,,,,
377,10/16/15 03:00:00 PM,18.901,5.0,2.89,,,,,
378,10/16/15 09:00:00 PM,12.207,0.0,2.87,,,,,
379,10/17/15 03:00:00 AM,10.748,0.0,2.85,,,,,
380,10/17/15 09:00:00 AM,13.076,9.0,2.87,,,,,
381,10/17/15 03:00:00 PM,12.013,1.0,2.87,,,,,
382,10/17/15 09:00:00 PM,10.063,0.0,2.85,,,,,
383,10/18/15 03:00:00 AM,9.077,0.0,2.87,,,,,
384,10/18/15 09:00:00 AM,11.431,8.0,2.85,,,,,
385,10/18/15 03:00:00 PM,13.942,5.0,2.87,,,,,
386,10/18/15 09:00:00 PM,7.582,0.0,2.87,,,,,
387,10/19/15 03:00:00 AM,7.882,0.0,2.87,,,,,
388,10/19/15 09:00:00 AM,9.275,1.0,2.87,,,,,
389,10/19/15 03:00:00 PM,10.944,1.0,2.85,,,,,
390,10/19/15 09:00:00 PM,8.182,0.0,2.87,,,,,
391,10/20/15 03:00:00 AM,5.450,0.0,2.83,,,,,
392,10/20/15 09:00:00 AM,6.573,4.0,2.85,,,,,
393,10/20/15 03:00:00 PM,9.768,2.0,2.85,,,,,
394,10/20/15 09:00:00 PM,4.415,0.0,2.85,,,,,
395,10/21/15 03:00:00 AM,3.893,0.0,2.85,,,,,
396,10/21/15 09:00:00 AM,5.757,8.0,2.83,,,,,
