Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
536,12/28/2018 9:00,0.01,0,,
537,12/28/2018 15:00,0.121,0,,
538,12/28/2018 21:00,0.121,0,,
539,12/29/2018 3:00,0.121,0,,
540,12/29/2018 9:00,0.232,0,,
541,12/29/2018 15:00,0.232,0,,
542,12/29/2018 21:00,0.232,0,,
543,12/30/2018 3:00,0.232,0,,
544,12/30/2018 9:00,0.232,0,,
545,12/30/2018 15:00,0.232,0,,
546,12/30/2018 21:00,0.121,0,,
547,12/31/2018 3:00,0.01,0,,
548,12/31/2018 9:00,-0.774,0,,
549,12/31/2018 15:00,-0.662,0,,
550,12/31/2018 21:00,-0.774,0,,
551,1/1/2019 3:00,-0.887,0,,
552,1/1/2019 9:00,-0.887,0,,
553,1/1/2019 15:00,-0.549,0,,
554,1/1/2019 21:00,-0.325,0,,
555,1/2/2019 3:00,-0.213,0,,
556,1/2/2019 9:00,-0.102,0,,
557,1/2/2019 15:00,0.01,0,,
558,1/2/2019 21:00,0.121,0,,
559,1/3/2019 3:00,0.121,0,,
560,1/3/2019 9:00,0.232,0,,
561,1/3/2019 15:00,0.232,0,,
562,1/3/2019 21:00,0.232,0,,
563,1/4/2019 3:00,0.232,0,,
564,1/4/2019 9:00,0.232,0,,
565,1/4/2019 15:00,0.232,0,,
566,1/4/2019 21:00,0.232,0,,
567,1/5/2019 3:00,0.232,0,,
568,1/5/2019 9:00,0.232,0,,
569,1/5/2019 15:00,0.232,0,,
570,1/5/2019 21:00,0.232,0,,
571,1/6/2019 3:00,0.232,0,,
572,1/6/2019 9:00,0.232,0,,
573,1/6/2019 15:00,0.232,0,,
574,1/6/2019 21:00,0.232,0,,
575,1/7/2019 3:00,0.121,0,,
576,1/7/2019 9:00,0.121,0,,
577,1/7/2019 15:00,0.121,0,,
578,1/7/2019 21:00,0.121,0,,
579,1/8/2019 3:00,0.121,0,,
580,1/8/2019 9:00,0.232,0,,
581,1/8/2019 15:00,0.232,0,,
582,1/8/2019 21:00,0.232,0,,
583,1/9/2019 3:00,0.232,0,,
584,1/9/2019 9:00,0.232,0,,
585,1/9/2019 15:00,0.232,0,,
586,1/9/2019 21:00,0.232,0,,
587,1/10/2019 3:00,0.232,0,,
588,1/10/2019 9:00,0.232,0,,
589,1/10/2019 15:00,0.232,0,,
590,1/10/2019 21:00,0.232,0,,
591,1/11/2019 3:00,0.232,0,,
592,1/11/2019 9:00,0.232,0,,
593,1/11/2019 15:00,0.232,0,,
594,1/11/2019 21:00,0.232,0,,
595,1/12/2019 3:00,0.232,0,,
596,1/12/2019 9:00,0.232,0,,
597,1/12/2019 15:00,0.232,0,,
598,1/12/2019 21:00,0.232,0,,
599,1/13/2019 3:00,0.232,0,,
600,1/13/2019 9:00,0.232,0,,
601,1/13/2019 15:00,0.232,0,,
602,1/13/2019 21:00,0.232,0,,
603,1/14/2019 3:00,0.232,0,,
604,1/14/2019 9:00,0.232,0,,
605,1/14/2019 15:00,0.232,0,,
606,1/14/2019 21:00,0.232,0,,
607,1/15/2019 3:00,0.121,0,,
